Name,Country,Sector,Company
Santiago Salem Kronfle,Ecuador,Agro,Industrial Pesquera Santa Priscila
Sarah Cartes,Paraguay,Holding,Grupo Cartes
Saúl ‘Canelo’ Álvarez,México,"Deportes, Inversionista",SSA Capitales y Upper by Canelo
Sebastián Noguera y Brynne McNulty Rojas,Colombia,Proptech,Habi
Sergio Díaz-Granados,Colombia,Finanzas,CAF
Sergio Fogel,Uruguay,Tecnología,dLocal
Sergio Martínez,Colombia,Salud,Keralty
Sergio Méndez,México,Inversionista,BlackRock México
Sergio Rial,Brasil,Finanzas,Santander
Sergio Rincón,Colombia,Alimentos,Bavaria
Sergio Zimerman,Brasil,Comercio,Petz
Sergio de Andrade,Brasil,Minería y Metales,Usiminas
Sergio ‘Checo’ Pérez,México,Deportes,Piloto F1
Sergio ‘Kun’ Agüero,Argentina,Entretenimiento,KRÜ Esports
Silvia Dávila,México,Alimentos y bebidas,Danone Latam
Silvia Penna,Brasil,Tecnología,Uber
"Simón Borrero, Felipe Villamarín y Sebastián Mejía",Colombia,Comercio y Tecnología,Rappi
Stanley Heckadon,Panamá,Servicio Público,Instituto Smithsonian de Investigaciones Tropicales (STRI)
Stanley Motta,Panamá,Finanzas,Motta Internacional
Stéphane Maquaire,Brasil,Comercio,Carrefour Brasil
Suelma Rosa,Brasil,Alimentos y Bebidas,Unilever
Susan Segal,EEUU,OSC,AS/COA
Sylvia Varela,México,Salud,AstraZeneca Latam
Tania Ortiz Mena,México,Energía,Sempra Infraestructura
